Location,TimeFrame,DataFormat,Data
CHERAW 31,2010,Percent,0.53
CHERAW 31,2011,Percent,0.42
CHERAW 31,2008,Percent,0.48
CHERAW 31,2009,Percent,0.63
CHERAW 31,2012,Percent,N/A
CHERAW 31,2013,Percent,LNE
CHERAW 31,2014,Percent,LNE
CHERRY CREEK 5,2010,Percent,0.75
CHERRY CREEK 5,2011,Percent,0.75
CHERRY CREEK 5,2008,Percent,0.74
CHERRY CREEK 5,2009,Percent,0.73
CHERRY CREEK 5,2012,Percent,0.74865
CHERRY CREEK 5,2013,Percent,0.771
CHERRY CREEK 5,2014,Percent,0.75345
CHEYENNE COUNTY RE-5,2010,Percent,LNE
CHEYENNE COUNTY RE-5,2011,Percent,LNE
CHEYENNE COUNTY RE-5,2008,Percent,LNE
CHEYENNE COUNTY RE-5,2009,Percent,LNE
CHEYENNE COUNTY RE-5,2012,Percent,0.7
CHEYENNE COUNTY RE-5,2013,Percent,LNE
CHEYENNE COUNTY RE-5,2014,Percent,LNE
CHEYENNE MOUNTAIN 12,2010,Percent,0.89
CHEYENNE MOUNTAIN 12,2011,Percent,0.91
CHEYENNE MOUNTAIN 12,2008,Percent,0.85
CHEYENNE MOUNTAIN 12,2009,Percent,0.86
CHEYENNE MOUNTAIN 12,2012,Percent,0.86933
CHEYENNE MOUNTAIN 12,2013,Percent,0.926
CHEYENNE MOUNTAIN 12,2014,Percent,0.87629
CLEAR CREEK RE-1,2010,Percent,0.82
CLEAR CREEK RE-1,2011,Percent,0.7
CLEAR CREEK RE-1,2008,Percent,0.72
CLEAR CREEK RE-1,2009,Percent,0.75
CLEAR CREEK RE-1,2012,Percent,0.71591
CLEAR CREEK RE-1,2013,Percent,0.721
CLEAR CREEK RE-1,2014,Percent,0.73611
COLORADO SPRINGS 11,2010,Percent,0.65
COLORADO SPRINGS 11,2011,Percent,0.65
COLORADO SPRINGS 11,2008,Percent,0.67
COLORADO SPRINGS 11,2009,Percent,0.68
COLORADO SPRINGS 11,2012,Percent,0.66786
COLORADO SPRINGS 11,2013,Percent,0.669
COLORADO SPRINGS 11,2014,Percent,0.63645
COTOPAXI RE-3,2010,Percent,LNE
COTOPAXI RE-3,2011,Percent,0.71
COTOPAXI RE-3,2008,Percent,LNE
COTOPAXI RE-3,2009,Percent,LNE
COTOPAXI RE-3,2012,Percent,0.59091
COTOPAXI RE-3,2013,Percent,0.688
COTOPAXI RE-3,2014,Percent,0.65
CREEDE CONSOLIDATED 1,2010,Percent,LNE
CREEDE CONSOLIDATED 1,2011,Percent,LNE
CREEDE CONSOLIDATED 1,2008,Percent,LNE
CREEDE CONSOLIDATED 1,2009,Percent,LNE
CREEDE CONSOLIDATED 1,2012,Percent,N/A
CREEDE CONSOLIDATED 1,2013,Percent,LNE
CREEDE CONSOLIDATED 1,2014,Percent,LNE
CRIPPLE CREEK-VICTOR RE-1,2010,Percent,0.62
CRIPPLE CREEK-VICTOR RE-1,2011,Percent,0.74
CRIPPLE CREEK-VICTOR RE-1,2008,Percent,0.75
CRIPPLE CREEK-VICTOR RE-1,2009,Percent,0.72
CRIPPLE CREEK-VICTOR RE-1,2012,Percent,0.6
CRIPPLE CREEK-VICTOR RE-1,2013,Percent,0.792
CRIPPLE CREEK-VICTOR RE-1,2014,Percent,0.77778
CROWLEY COUNTY RE-1-J,2010,Percent,0.64
CROWLEY COUNTY RE-1-J,2011,Percent,0.73
CROWLEY COUNTY RE-1-J,2008,Percent,0.8
CROWLEY COUNTY RE-1-J,2009,Percent,0.69
CROWLEY COUNTY RE-1-J,2012,Percent,0.51724
CROWLEY COUNTY RE-1-J,2013,Percent,0.792
CROWLEY COUNTY RE-1-J,2014,Percent,0.8
CUSTER COUNTY SCHOOL DISTRICT C-1,2010,Percent,0.84
CUSTER COUNTY SCHOOL DISTRICT C-1,2011,Percent,0.74
CUSTER COUNTY SCHOOL DISTRICT C-1,2008,Percent,0.78
CUSTER COUNTY SCHOOL DISTRICT C-1,2009,Percent,0.71
CUSTER COUNTY SCHOOL DISTRICT C-1,2012,Percent,0.86207
CUSTER COUNTY SCHOOL DISTRICT C-1,2013,Percent,0.667
CUSTER COUNTY SCHOOL DISTRICT C-1,2014,Percent,0.83333
DE BEQUE 49JT,2010,Percent,LNE
DE BEQUE 49JT,2011,Percent,LNE
DE BEQUE 49JT,2008,Percent,LNE
DE BEQUE 49JT,2009,Percent,LNE
DE BEQUE 49JT,2012,Percent,N/A
DE BEQUE 49JT,2013,Percent,LNE
DE BEQUE 49JT,2014,Percent,0.375
DEER TRAIL 26J,2010,Percent,LNE
DEER TRAIL 26J,2011,Percent,LNE
DEER TRAIL 26J,2008,Percent,LNE
DEER TRAIL 26J,2009,Percent,LNE
DEER TRAIL 26J,2012,Percent,N/A
DEER TRAIL 26J,2013,Percent,LNE
DEER TRAIL 26J,2014,Percent,LNE
DEL NORTE C-7,2010,Percent,0.56
DEL NORTE C-7,2011,Percent,0.59
DEL NORTE C-7,2008,Percent,0.68
DEL NORTE C-7,2009,Percent,0.49
DEL NORTE C-7,2012,Percent,0.70732
DEL NORTE C-7,2013,Percent,0.606
DEL NORTE C-7,2014,Percent,0.88889
DELTA COUNTY 50(J),2010,Percent,0.7
DELTA COUNTY 50(J),2011,Percent,0.69
DELTA COUNTY 50(J),2008,Percent,0.62
DELTA COUNTY 50(J),2009,Percent,0.68
DELTA COUNTY 50(J),2012,Percent,0.64689
DELTA COUNTY 50(J),2013,Percent,0.67
DELTA COUNTY 50(J),2014,Percent,0.68622
DENVER COUNTY 1,2010,Percent,0.45
DENVER COUNTY 1,2011,Percent,0.44
DENVER COUNTY 1,2008,Percent,0.42
DENVER COUNTY 1,2009,Percent,0.42
DENVER COUNTY 1,2012,Percent,0.49333
DENVER COUNTY 1,2013,Percent,0.521
DENVER COUNTY 1,2014,Percent,0.51335
DOLORES COUNTY RE NO.2,2010,Percent,0.67
DOLORES COUNTY RE NO.2,2011,Percent,0.43
DOLORES COUNTY RE NO.2,2008,Percent,LNE
DOLORES COUNTY RE NO.2,2009,Percent,0.33
DOLORES COUNTY RE NO.2,2012,Percent,0.4
DOLORES COUNTY RE NO.2,2013,Percent,0.684
DOLORES COUNTY RE NO.2,2014,Percent,0.6
DOLORES RE-4A,2010,Percent,0.79
DOLORES RE-4A,2011,Percent,0.76
DOLORES RE-4A,2008,Percent,0.83
DOLORES RE-4A,2009,Percent,0.54
DOLORES RE-4A,2012,Percent,0.81132
DOLORES RE-4A,2013,Percent,0.635
